Rk,Player,Age,Team,Pos,G,GS,MP,PER▼,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
106,P.J. Washington,26,DAL,PF,57,56,1835,14.0,.556,.359,.298,5.0,20.9,13.1,10.1,1.7,2.8,13.6,20.4,0.3,2.1,2.4,.062,-1.1,0.2,-0.9,0.5,,washipj01
107,Isaiah Joe,25,OKC,SG,74,16,1604,14.0,.617,.793,.095,2.8,10.1,6.6,9.7,1.4,0.6,5.8,17.2,2.9,2.2,5.1,.153,1.4,-0.1,1.3,1.4,,joeis01
108,Tobias Harris,32,DET,PF,73,73,2305,13.9,.571,.328,.206,3.1,17.5,10.4,9.8,1.5,2.4,8.8,17.6,2.3,2.9,5.2,.108,-0.5,0.6,0.1,1.2,,harrito02
109,Stephon Castle,20,SAS,PG,81,47,2162,13.7,.522,.337,.348,4.4,10.3,7.4,22.8,1.7,0.9,13.4,26.0,0.1,1.0,1.1,.025,-1.5,-1.7,-3.2,-0.6,ROY-1,castlst01
110,Wendell Carter Jr.,25,ORL,C,68,51,1758,13.7,.544,.322,.356,9.4,23.4,16.0,11.5,1.5,2.2,11.9,16.0,1.6,3.0,4.6,.125,-2.2,0.9,-1.2,0.3,,cartewe01
111,Grayson Allen,29,PHO,SG,64,7,1544,13.7,.631,.716,.233,2.5,11.3,7.0,12.5,1.7,1.2,12.2,17.6,2.0,0.6,2.5,.079,0.7,-1.0,-0.3,0.7,,allengr01
112,Bennedict Mathurin,22,IND,SF,72,49,2149,13.6,.579,.338,.389,4.6,15.2,9.9,8.8,1.1,1.0,11.9,22.8,1.3,1.8,3.0,.068,-1.3,-1.5,-2.9,-0.5,,mathube01
113,Rui Hachimura,26,LAL,PF,59,57,1869,13.6,.619,.429,.196,4.9,12.6,8.9,6.4,1.2,1.3,7.3,15.8,2.8,1.5,4.3,.110,-0.1,-0.6,-0.7,0.6,,hachiru01
114,Derrick Jones Jr.,27,LAC,SF,77,55,1873,13.5,.609,.372,.200,5.7,10.1,8.0,4.6,2.1,1.7,9.3,16.5,2.1,2.6,4.7,.120,-1.0,0.7,-0.3,0.8,,jonesde02
115,Jrue Holiday,34,BOS,PG,62,62,1896,13.5,.565,.534,.134,4.4,10.8,7.6,17.3,1.7,1.3,11.3,15.8,2.8,2.4,5.1,.130,-0.3,1.0,0.7,1.3,,holidjr01
